run,runtime_seconds
1,0.09167630004230887
2,0.1177513999864459
3,0.07431219995487481
4,0.04460090002976358
5,0.05667610000818968
6,0.02152790001127869
7,0.0308839000063017
8,0.02520810009445995
9,0.18662050005514175
10,0.03313510003499687
11,0.18878159997984767
12,0.07082389993593097
13,0.22951700002886355
14,0.09667669993359596
15,0.1960759999928996
16,0.04818119993433356
17,0.10358600004110485
18,0.06950460001826286
19,0.038774600019678473
20,0.05959019996225834
21,0.0631065999623388
22,0.08061049995012581
23,0.06377479992806911
24,0.05459519999567419
25,0.04270910006016493
26,0.11889110004995018
27,0.03115499997511506
28,0.04236510000191629
29,0.10453930008225143
30,0.3381926999427378
31,0.14975280000362545
32,0.02614549989812076
33,0.04676509997807443
34,0.046789599931798875
35,0.092032500077039
36,0.05189320002682507
37,0.05198500002734363
38,0.06273709994275123
39,0.29981490003410727
40,0.056559800053946674
41,0.07292870001401752
42,0.025785399950109422
43,0.029690199997276068
44,0.05277930002193898
45,0.0912425999995321
46,0.2596210000338033
47,0.07509950001258403
48,0.07837270002346486
49,0.031034199986606836
50,0.06948249996639788
51,0.026668700040318072
52,0.0362944999942556
53,0.022019400028511882
54,0.05309020006097853
55,0.048210900044068694
56,0.04912959993816912
57,0.04240110004320741
58,0.04856010002549738
59,0.0895387000637129
60,0.06378750002477318
61,0.04219499998725951
62,0.05095790000632405
63,0.08941200003027916
64,0.162190500064753
65,0.1268306999700144
66,0.03705619997344911
67,0.04583350010216236
68,0.03436699998565018
69,0.04857999994419515
70,0.1295771999284625
71,0.04006580007262528
72,0.2911894000135362
73,0.19727900007274002
74,0.03030910005327314
75,0.03955109999515116
76,0.04104609997011721
77,0.12474280002061278
78,0.03627869999036193
79,0.03425140003673732
80,0.07670980005059391
81,0.01771249994635582
82,0.21090129995718598
83,0.07291480002459139
84,0.19217649998608977
85,0.2963076999876648
86,0.07391939999070019
87,0.10884110000915825
88,0.05009330005850643
89,0.02897300000768155
90,0.03759720001835376
91,0.1581599999917671
92,0.05279410001821816
93,0.04070849996060133
94,0.07838760002050549
95,0.05546829989179969
96,0.10497240000404418
97,0.1613178999396041
98,0.0432009999640286
99,0.14017220004461706
100,0.038520799949765205
101,0.20680220006033778
102,0.04666270001325756
103,0.04727049998473376
104,0.18480070005171
105,0.07715259992983192
106,0.13619510002899915
107,0.04990290000569075
108,0.04051550000440329
109,0.08437659998890013
110,0.061847099917940795
111,0.03995730006136
112,0.1385556000750512
113,0.10884020000230521
114,0.06988269998691976
115,0.019580099964514375
116,0.034228899981826544
117,0.04515819996595383
118,0.11788849998265505
119,0.13532699993811548
120,0.03602959995623678
121,0.08775760000571609
122,0.07813869998790324
123,0.19959319999907166
124,0.0589192999759689
125,0.059064899920485914
126,0.08448780002072453
127,0.08224179991520941
128,0.02285680000204593
129,0.0654208998894319
130,0.04379459994379431
131,0.03551449999213219
132,0.4685588999418542
133,0.05002169997896999
134,0.31644960003905
135,0.20354129991028458
136,0.03021160000935197
137,0.05549889989197254
138,0.07529840001370758
139,0.02651919994968921
140,0.07082429993897676
141,0.043573300004936755
142,0.030665899976156652
143,0.11141989997122437
144,0.030138300033286214
145,0.05843009997624904
146,0.04991820000577718
147,0.06818139995448291
148,0.04329129995312542
149,0.09151389996986836
150,0.36628870002459735
151,0.04495779995340854
152,0.03709220001474023
153,0.04481260001193732
154,0.08537679992150515
155,0.024592599947936833
156,0.1160276000155136
157,0.2851619999855757
158,0.04879929998423904
159,0.06678059999831021
160,0.06562139990273863
161,0.06819639995228499
162,0.11391229997389019
163,0.25896339991595596
164,0.04401690000668168
165,0.08027979999314994
166,0.3954214999685064
167,0.04747819993644953
168,0.0610866000643
169,0.04141039995010942
170,0.058592300047166646
171,0.07245860004331917
172,0.05835179996211082
173,0.28350509994197637
174,0.03365360002499074
175,0.1174566000699997
176,0.04926300002261996
177,0.03392620000522584
178,0.07855460001155734
179,0.05295259994454682
180,0.1749452999792993
181,0.11685360001865774
182,0.05075479997321963
183,0.0908769000088796
184,0.06299949996173382
185,0.22997250000480562
186,0.06097300001420081
187,0.03931149991694838
188,0.026632900000549853
189,0.05644929991103709
190,0.035613999934867024
191,0.026429800083860755
192,0.037720900028944016
193,0.04886129999067634
194,0.061465000035241246
195,0.06932829995639622
196,0.046179600059986115
197,0.043702100054360926
198,0.038347900030203164
199,0.036229100078344345
200,0.029053500038571656
201,0.0400857999920845
202,0.08265200001187623
203,0.041716499952599406
204,0.1382980999769643
205,0.08887600002344698
206,0.046598699991591275
207,0.042842399911023676
208,0.041604200028814375
209,0.19862849998753518
210,0.1819284000666812
211,0.05537030007690191
212,0.07010769995395094
213,0.04069120006170124
214,0.0526163000613451
215,0.021156299975700676
216,0.12816429999656975
217,0.033196300035342574
218,0.08856210007797927
219,0.10741509997751564
220,0.057602599961683154
221,0.05703890009317547
222,0.11831559997517616
223,0.059364199987612665
224,0.06085879995953292
225,0.04819700005464256
226,0.058864900027401745
227,0.04009639995638281
228,0.03990129998419434
229,0.05791720002889633
230,0.11752119997981936
231,0.15093030000571162
232,0.16362369991838932
233,0.04449820006266236
234,0.2305855000158772
235,0.1474971000570804
236,0.10046590003184974
237,0.0717535000294447
238,0.05135199998039752
239,0.028096699970774353
240,0.04877590003889054
241,0.23719700006768107
242,0.05794389999937266
243,0.04669879993889481
244,0.022830700036138296
245,0.05345090001355857
246,0.0398257999913767
247,0.05579740006942302
248,0.03852729999925941
249,0.07136329996865243
250,0.047459099907428026
251,0.05633680010214448
252,0.028365599922835827
253,0.146574700018391
254,0.033303000032901764
255,0.04478900006506592
256,0.029842899995855987
257,0.03787750005722046
258,0.037108899909071624
259,0.16063219995703548
260,0.03461289999540895
261,0.08360989997163415
262,0.030003400053828955
263,0.05572119995485991
264,0.12039430008735508
265,0.02940250001847744
266,0.3909171000123024
267,0.04122130002360791
268,0.04864000005181879
269,0.032458300003781915
270,0.09466269996482879
271,0.06323550001252443
272,0.05113650008570403
273,0.08032239996828139
274,0.056916600093245506
275,0.052401899942196906
276,0.22183170006610453
277,0.06761350005399436
278,0.06407080008648336
279,0.18008620000910014
280,0.049293600022792816
281,0.053264500107616186
282,0.04142689995933324
283,0.10522060003131628
284,0.035132399993017316
285,0.039800799917429686
286,0.08485230000223964
287,0.03304599993862212
288,0.047053399961441755
289,0.037682199967093766
290,0.024649900035001338
291,0.036164999939501286
292,0.04541059990879148
293,0.21367369999643415
294,0.03495529992505908
295,0.2010518000461161
296,0.048352999961934984
297,0.038824700051918626
298,0.045617999974638224
299,0.07347440009471029
300,0.03804430004674941
301,0.08758200006559491
302,0.06098180008120835
303,0.1477053000126034
304,0.07968800002709031
305,0.040669200010597706
306,0.08469779998995364
307,0.07497810001950711
308,0.06330919999163598
309,0.10704110004007816
310,0.06108060001861304
311,0.09575989993754774
312,0.0822506999829784
