run,runtime_seconds
1,0.23572959995362908
2,0.1953442000085488
3,0.18698250001762062
4,0.3859814000315964
5,0.15808319998905063
6,0.4217752000549808
7,0.3603224999969825
8,0.1548457999015227
9,0.2462408000137657
10,0.20592079998459667
11,0.34432659996673465
12,0.42819490004330873
13,0.22724719997495413
14,0.28244560002349317
15,0.17786809999961406
16,0.15388700005132705
17,0.34920850000344217
18,0.0664829999441281
19,0.09971550002228469
20,0.34355660004075617
21,0.2097875999752432
22,0.33704320003744215
23,0.19644910003989935
24,0.1779755000025034
25,0.25041760003659874
26,0.4536610000068322
27,0.3437274999450892
28,0.2759949000319466
29,0.15631550003308803
30,0.46540769992861897
31,0.4297968000173569
32,0.3384391999570653
33,0.2666548000415787
34,0.25321290001738816
35,0.3154682000167668
36,0.2102471999824047
37,0.24097120005171746
38,0.3508107999805361
39,0.3215515000047162
40,0.3223141999915242
41,0.3990372000262141
42,0.3012218000367284
43,0.03779400000348687
44,0.10546019999310374
45,0.20700399996712804
46,0.25630790006835014
47,0.1619429000420496
48,0.2825981000205502
49,0.14870749996043742
50,0.2613393000792712
51,0.42785320000257343
52,0.22361290000844747
53,0.10854409995954484
54,0.1852287999354303
55,0.3719000000273809
56,0.2069789000088349
57,0.182319900020957
58,0.24555729993153363
59,0.3891723999986425
60,0.2909698000876233
61,0.32062100002076477
62,0.17087999999057502
63,0.0893744999775663
64,0.22825099993497133
65,0.0006006000330671668
66,0.3372110000345856
67,0.28428860008716583
68,0.0006690999725833535
69,0.3977309000911191
70,0.06900230003520846
71,0.5408742999425158
72,0.1850944000761956
73,0.29634640004951507
74,0.6147554999915883
75,0.32524959999136627
76,0.5181315999943763
77,0.399097100016661
78,0.37516739999409765
79,0.4805237000109628
80,0.13149170007091016
81,0.2175452000228688
82,0.5884781000204384
83,0.5555983999511227
84,0.26516529999207705
85,0.21868419996462762
86,0.4506303999805823
87,0.35768569994252175
88,0.40513590001501143
89,0.24975010007619858
90,0.11610940005630255
91,0.15097760001663119
92,0.20321450009942055
93,0.3182160999858752
94,0.4668741999194026
95,0.27941109996754676
96,0.353461500024423
97,0.4616453000344336
98,0.19863370002713054
99,0.12588109995704144
100,0.33687100000679493
101,0.12731050001457334
102,0.2250586999580264
103,0.3316063000820577
104,0.014435999910347164
105,0.19286389998160303
106,0.49771020002663136
107,0.45855869993101805
108,0.3580706000793725
109,0.3526768999872729
110,0.4381150999106467
111,0.4051080000353977
112,0.1564130000770092
113,0.18940340005792677
114,0.37091689999215305
115,0.16339100000914186
116,0.30288390000350773
